
Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Auckland, North Shore Albany Ews,37852,A64776,-36.74827,174.71377,64,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Sunshine: Daily
Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
Auckland, North Shore Albany Ews,20230110:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230111:2259,1.6,24,D
Auckland, North Shore Albany Ews,20230112:2259,0.4,24,D
Auckland, North Shore Albany Ews,20230113:2259,1.8,24,D
Auckland, North Shore Albany Ews,20230114:2259,8.8,24,D
Auckland, North Shore Albany Ews,20230115:2259,8.2,24,D
Auckland, North Shore Albany Ews,20230116:2259,10.4,24,D
Auckland, North Shore Albany Ews,20230117:2259,5.8,24,D
Auckland, North Shore Albany Ews,20230118:2259,7.9,24,D
Auckland, North Shore Albany Ews,20230119:2259,10.8,24,D
Auckland, North Shore Albany Ews,20230120:2259,11.9,24,D
Auckland, North Shore Albany Ews,20230121:2259,8.8,24,D
Auckland, North Shore Albany Ews,20230122:2259,7.6,24,D
Auckland, North Shore Albany Ews,20230123:2259,11.8,24,D
Auckland, North Shore Albany Ews,20230124:2259,7.5,24,D
Auckland, North Shore Albany Ews,20230125:2259,11.5,24,D
Auckland, North Shore Albany Ews,20230126:2259,8.2,24,D
Auckland, North Shore Albany Ews,20230127:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230128:2259,5.4,24,D
Auckland, North Shore Albany Ews,20230129:2259,0.1,24,D
Auckland, North Shore Albany Ews,20230130:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230131:2259,0.0,24,D
Auckland, North Shore Albany Ews,20230201:2259,6.7,24,D
Auckland, North Shore Albany Ews,20230202:2259,5.0,24,D
Auckland, North Shore Albany Ews,20230203:2259,0.3,24,D
Auckland, North Shore Albany Ews,20230204:2259,1.0,24,D
Auckland, North Shore Albany Ews,20230205:2259,7.2,24,D
Auckland, North Shore Albany Ews,20230206:2259,7.0,24,D
Auckland, North Shore Albany Ews,20230207:2259,9.9,24,D
Auckland, North Shore Albany Ews,20230208:2259,9.3,24,D
Auckland, North Shore Albany Ews,20230209:2259,8.0,24,D
Auckland, North Shore Albany Ews,20230210:2259,8.6,24,D
